序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603382,海阳科技,-9.980334281921387,18.31,1.57亿,21.15亿,33.19亿,25.661365509033203,7.213213920593262,369074,150000,10007202,2,1,化学纤维
2,002487,大金重工,-10.005104064941406,35.26,13.32亿,222.46亿,260.95亿,21.725656509399414,5.809910774230957,2877603,142703,190153654,1,6,风电设备
3,603079,圣达生物,-9.978616714477539,12.63,2.82亿,23.87亿,23.87亿,45.30361557006836,11.582906723022461,3594498,150000,90475000,1,50,化学制品
4,603657,春光科技,-10.010725975036621,25.17,1.00亿,34.03亿,34.03亿,-24.02454376220703,2.8209915161132812,7520796,102602,28197951,1,7,家电零部
5,001317,三羊马,-10.0,47.97,4.92亿,41.02亿,41.05亿,900.6077880859375,11.394999504089355,13302081,134439,763533692,1,7,铁路公路
6,002860,星帅尔,-10.0,15.66,3.15亿,54.17亿,55.15亿,27.499649047851562,5.7352142333984375,22968882,135857,139901737,1,17,家电零部
7,603118,共进股份,-10.005620956420898,16.01,18.50亿,126.04亿,126.04亿,128.87876892089844,14.30318832397461,23048956,131744,273068602,1,17,通信设备
8,605179,一鸣食品,-9.984151840209961,28.4,6.87亿,113.88亿,113.88亿,145.9629669189453,5.898929595947266,49830668,131511,1642718451,2,1,饮料乳品
9,603156,养元饮品,-9.994342803955078,47.73,11.64亿,601.53亿,601.53亿,35.21821212768555,1.8409833908081055,100631402,095742,321725974,1,11,饮料乳品
10,001277,速达股份,-9.991532325744629,31.89,3475.37万,14.53亿,24.24亿,42.175331115722656,2.3925626277923584,122709371,092500,252425295,1,0,专用设备
11,603823,百合花,-9.993568420410156,69.98,10.30亿,291.37亿,291.37亿,126.1438980102539,3.403721809387207,173494416,094426,6298666206,2,2,化学制品
