序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,000889,中嘉博创,4.35,10.13,0.4,1790469,7.76 亿,6.33,4.35,4.1,4.35,3.95,20.58,-104.12,57.38,昨日连板
2,600743,华远控股,2.65,9.96,0.24,1634453,4.30 亿,5.39,2.65,2.52,2.59,2.41,6.97,-127.75,9.82,昨日连板
3,002384,东山精密,143.55,8.83,11.65,1449445,200.94 亿,9.72,145.09,132.27,132.3,131.9,10.46,197.82,12.39,昨日连板
4,603306,华懋科技,101.8,4.88,4.74,282399,28.29 亿,7.83,103.79,96.19,98.0,97.06,8.57,145.84,10.81,昨日连板
5,002536,飞龙股份,34.31,2.23,0.75,792016,27.57 亿,5.36,35.8,34.0,34.36,33.56,14.55,62.23,5.65,昨日连板
6,002975,博杰股份,88.63,1.99,1.73,229108,20.38 亿,4.78,90.67,86.52,86.64,86.9,21.64,97.1,6.21,昨日连板
7,603757,大元泵业,55.11,1.75,0.95,342658,18.99 亿,10.76,58.69,52.86,53.0,54.16,18.37,71.04,4.87,昨日连板
8,002342,巨力索具,15.5,-0.58,-0.09,3578273,57.00 亿,7.95,16.66,15.42,16.0,15.59,37.48,853.39,6.09,昨日连板
9,605318,法狮龙,90.9,-2.44,-2.27,56069,5.16 亿,5.45,95.2,90.12,93.17,93.17,4.46,-5949.29,17.68,昨日连板
