序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300449,汉邦高科,9.18,20.0,1.53,674922,6.04 亿,17.25,9.18,7.86,7.88,7.65,17.48,-49.4,11.41,数字水印
2,300079,数码视讯,6.59,3.62,0.23,1930959,13.00 亿,8.96,7.05,6.48,6.48,6.36,15.07,286.27,2.23,数字水印
3,688225,亚信安全,21.82,2.2,0.47,72197,1.60 亿,8.71,22.94,21.08,21.18,21.35,1.8,-16.37,4.91,数字水印
4,300352,北信源,7.04,1.73,0.12,879927,6.20 亿,3.32,7.13,6.9,6.9,6.92,6.89,-46.08,8.28,数字水印
5,300081,恒信东方,5.74,1.41,0.08,423361,2.46 亿,6.18,5.97,5.62,5.62,5.66,7.0,-17.2,3.27,数字水印
6,000681,视觉中国,29.54,1.37,0.4,1123659,33.43 亿,4.8,30.5,29.1,29.49,29.14,16.62,208.86,5.71,数字水印
7,003029,吉大正元,26.19,1.2,0.31,116912,3.11 亿,5.45,27.13,25.72,25.79,25.88,6.75,-51.66,4.7,数字水印
8,002717,ST岭南,1.66,0.61,0.01,528940,8875.75 万,4.24,1.72,1.65,1.65,1.65,3.27,-10.99,3.52,数字水印
9,002228,合兴包装,4.44,0.45,0.02,236338,1.05 亿,1.81,4.49,4.41,4.43,4.42,1.95,25.31,1.75,数字水印
10,300571,平治信息,32.43,0.06,0.02,114121,3.75 亿,5.28,33.97,32.26,32.3,32.41,9.87,456.63,3.11,数字水印
11,000925,众合科技,8.3,0.0,0.0,161575,1.35 亿,1.93,8.44,8.28,8.34,8.3,2.4,-91.1,1.7,数字水印
12,301270,汉仪股份,41.9,-0.12,-0.05,62301,2.65 亿,5.22,43.5,41.31,41.56,41.95,6.59,347.44,4.3,数字水印
13,600571,信雅达,16.0,-0.19,-0.03,94431,1.53 亿,2.0,16.32,16.0,16.05,16.03,2.06,248.98,6.23,数字水印
14,300663,科蓝软件,17.06,-0.29,-0.05,84734,1.46 亿,2.1,17.38,17.02,17.04,17.11,1.85,-580.13,10.8,数字水印
15,002197,证通电子,9.15,-0.54,-0.05,238519,2.22 亿,3.8,9.5,9.15,9.25,9.2,4.47,-63.92,2.71,数字水印
